column,nonzero_cohort_fused,matrix_rows_cohort_fused,nonzero_after_align,matrix_rows_after_align,nonzero_after_family_support,matrix_rows_after_family_support,nonzero_after_low_information_prune,matrix_rows_after_low_information_prune,nonzero_after_leakage_prune,matrix_rows_after_leakage_prune,dropped_by_low_information_prune,dropped_by_leakage_prune
perm__com_huawei_launcher3_permission_read_settings,5,1226,5,1226,5,1001,5.0,1001,5.0,1001,False,False
perm__com_huawei_launcher3_permission_write_settings,5,1226,5,1226,5,1001,5.0,1001,5.0,1001,False,False
perm__com_huawei_meetime_caas_share_service,2,1226,2,1226,2,1001,2.0,1001,2.0,1001,False,False
perm__com_huawei_permission_external_app_settings_use_component,27,1226,27,1226,27,1001,27.0,1001,27.0,1001,False,False
perm__com_hugo_permission_c2d_message,2,1226,2,1226,2,1001,2.0,1001,2.0,1001,False,False
perm__com_jio_join_permission_c2d_message,2,1226,2,1226,0,1001,,1001,,1001,True,False
perm__com_lge_launcher2_permission_read_settings,4,1226,4,1226,4,1001,4.0,1001,4.0,1001,False,False
perm__com_lge_launcher2_permission_write_settings,4,1226,4,1226,4,1001,4.0,1001,4.0,1001,False,False
perm__com_lge_launcher3_permission_read_settings,4,1226,4,1226,4,1001,4.0,1001,4.0,1001,False,False
perm__com_lge_launcher3_permission_write_settings,4,1226,4,1226,4,1001,4.0,1001,4.0,1001,False,False
perm__com_lge_launcher_permission_read_settings,5,1226,5,1226,5,1001,5.0,1001,5.0,1001,False,False
perm__com_lge_launcher_permission_write_settings,5,1226,5,1226,5,1001,5.0,1001,5.0,1001,False,False
perm__com_lqfrjz_ktnaepom_permission_read_settings,2,1226,2,1226,2,1001,2.0,1001,2.0,1001,False,False
