sample_id,sha256_x,family_id_x,family_canonical,type_slug,source_batch_label,android_package_name_x,effective_first_seen_at_utc_x,current_gate_reason,sha256_y,family_id_y,family_canonical_current,type_slug_current,source_batch_label_current,android_package_name_y,effective_first_seen_at_utc_y,in_locked_membership,in_current_governed,in_full_catalog
441,9bead1455bfa9ac0e2f9ecd7edebfdc82a4004fced0d338e38f094c3ce39bcba,129.0,Wroba,banker,,com.mr.keep,2021-03-08 13:42:19+00:00,below_min_samples_per_family,,,,,,,,True,False,True
443,6c22b79c6f78f4954536c7d2b48c88e5403f7b0e5a3ddc41b6e5c0a177e44dd5,50.0,TangleBot,spyware,,com.ltjkqj.erfycvar,2021-09-21 17:00:13+00:00,below_min_samples_per_family,,,,,,,,True,False,True
444,ea30098ff2dd1d097093ce705d1e4324c8df385e7b227c1a771882cabee18362,129.0,Wroba,banker,,com.gmr.keep,2020-06-11 00:00:00+00:00,below_min_samples_per_family,,,,,,,,True,False,True
476,495a0621b2afc6adefbf17dc6c3cf5e92ba8227ac6939a20439b1b9dde878617,17.0,Ermac,banker,,com.tafupqzpqgmn.tmnhkq,2021-12-17 00:00:00+00:00,below_min_samples_per_family,,,,,,,,True,False,True
490,1d8ffa729c0decd436624669e8ff65076ab567cd2b5b52f703b7d5528db8c67e,6.0,TeaBot,banker,,question.cancel.cradle,2021-06-03 00:00:00+00:00,below_min_samples_per_family,,,,,,,,True,False,True
498,65619e3afe53268f5cbe5eae6a429f23e712c4412eda8c70dcfd3ebb25382894,17.0,Ermac,banker,,com.czxvfknrqnqv.huslcn,2021-12-17 00:00:00+00:00,below_min_samples_per_family,,,,,,,,True,False,True
527,13576c80ef50807a097311468decc3b5d09df9f20d62b9ec2bd77b1ff332451a,6.0,TeaBot,banker,,com.scannet.qrbar,2021-06-18 12:23:08+00:00,below_min_samples_per_family,,,,,,,,True,False,True
528,57770190d3bbd453328bc63cfaf72bc01038379cd852ab81b3ee985605fb3ece,129.0,Wroba,banker,,tlcpez.cqgoio.dztq.ksd.lpqs,2021-11-05 04:11:30+00:00,below_min_samples_per_family,,,,,,,,True,False,True
534,7f2248f5de8a74b3d1c48be0db574b1c6558d6edae347592b29dc5234337a5ff,5.0,SharkBot,banker,,com.sepqaflwh.atsgejqzuk,2022-08-21 18:40:50+00:00,below_min_samples_per_family,,,,,,,,True,False,True
538,977387f25f1fb008343ee39eabfe1420e69d1afdd1742c9d6b45e8782480d3ae,129.0,Wroba,banker,,na.qrbf.sf.sxwk.lzhps.bw.tav,2021-11-05 04:12:11+00:00,below_min_samples_per_family,,,,,,,,True,False,True
551,26d2555a2c73fd7f49ae1d5d335f4cc983e3fab3f564989dfc3262ee2355a2b9,5.0,SharkBot,banker,,com.kylhavy.antivirus,2022-09-05 08:36:48+00:00,below_min_samples_per_family,,,,,,,,True,False,True
562,2877b27f1b6c7db466351618dda4f05d6a15e9a26028f3fc064fa144ec3a1850,40.0,Xenomorph,banker,,com.spike.old,2022-07-18 00:00:00+00:00,below_min_samples_per_family,,,,,,,,True,False,True
575,010ff192c9e93accc92442b20747b38c3e83a8e5c0ac2a903ff1f5745a5017c3,7.0,Chameleon,banker,,com.assist.nice,2023-01-03 05:37:50+00:00,below_min_samples_per_family,,,,,,,,True,False,True
606,05782e267bd62de78a3db22b1a83ddd3c72cbef95f5a5bc9defdd42a4f5786ec,8.0,EventBot,banker,,com.example.eventbot,2020-03-19 17:04:04+00:00,below_min_samples_per_family,,,,,,,,True,False,True
688,141e37754fa555e45eabe99ee7c854ab2d9f8b8ad89a73376f72c703602e3d17,7.0,Chameleon,banker,,com.original.hen,2023-02-21 17:44:52+00:00,below_min_samples_per_family,,,,,,,,True,False,True
691,149ea4f0572f4b2888ed53540b88db67cdc4acd77ede8d7a8b9bb2d02fa8d0a3,7.0,Chameleon,banker,,com.vague.motor,2023-01-02 10:28:39+00:00,below_min_samples_per_family,,,,,,,,True,False,True
695,153410238d01773e5c705c6d18955793bd61cb2e82c5c7656e74563bb43b3ffa,7.0,Chameleon,banker,,com.top.omit,2023-06-27 00:00:00+00:00,below_min_samples_per_family,,,,,,,,True,False,True
711,187b9f5de09d82d2afbad9e139600617685095c26c4304aaf67a440338e0a9b6,5.0,SharkBot,banker,,com.pagnotto28.sellsourcecode.alpha,2022-03-07 00:30:06+00:00,below_min_samples_per_family,,,,,,,,True,False,True
